# pgnr,lat,lon - HND Bayern station coordinates (UTM32/ETRS89 stammdaten -> WGS84)
10024000,48.26627,9.73146
10026293,48.38909,9.98659
10026302,48.38934,9.98673
10032009,48.4655,10.28364
10035801,48.56818,10.49872
10039802,48.71089,10.80152
10041906,48.73611,11.02108
10042104,48.73611,11.02108
10043504,48.73438,11.14359
10043708,48.73912,11.17799
10045601,48.75079,11.41197
10046105,48.75741,11.42605
10049001,48.77312,11.61942
10051105,48.81827,11.74552
10053009,48.91648,11.86465
10054500,48.91183,11.93209
10056302,48.94696,12.01493
10061007,49.02141,12.10172
10062000,49.02358,12.1387
10068006,48.98039,12.38376
10074009,48.88639,12.57401
10078000,48.87977,12.74722
10081004,48.82511,12.96226
10088003,48.67663,13.11516
10089006,48.63731,13.18247
10091008,48.57611,13.45869
10092000,48.57523,13.47803
10094006,48.58206,13.5032
10096001,48.56733,13.58682
11400505,47.45993,10.2787
11401009,47.52427,10.26031
11401185,47.5596,10.23128
11401202,47.56932,10.23496
11401205,47.56924,10.23568
11401701,47.62203,10.28526
11402001,47.73041,10.31688
11402770,47.93906,10.10839
11402809,47.94092,10.10294
11403004,48.02267,10.13679
11405000,48.37089,9.98771
11411104,47.32603,10.26684
11412107,47.42287,10.2714
11415008,47.42391,10.2767
11417100,47.39122,10.29421
11418250,47.4172,10.25432
11419004,47.46211,10.29339
11425200,47.50464,10.32356
11427300,47.53599,10.32498
11427603,47.53002,10.2972
11432002,47.52199,10.22988
11434008,47.55792,10.10761
11436003,47.57053,10.19231
11438015,47.56483,10.23067
11443009,47.64876,10.41219
11444001,47.6328,10.36377
11445004,47.62811,10.35822
11455201,47.69805,10.34275
11463006,47.76002,10.37211
11465001,47.7682,10.33689
11482000,47.87652,10.03746
11487000,47.76326,10.0651
11495002,48.04494,10.15012
11498000,48.35018,10.01214
11526000,48.39864,9.96481
11548007,48.3696,10.15126
11582300,48.07168,10.29955
11583303,48.23612,10.31397
11584000,48.3524,10.30216
11587002,47.9232,10.30435
11587005,47.92402,10.30548
11587753,47.92506,10.40291
11587755,47.92577,10.40243
11602480,47.98614,10.50215
11605009,48.16979,10.43371
11605202,48.16968,10.43359
11606155,48.21207,10.44444
11606353,48.24651,10.4619
11606355,48.24693,10.46187
11609000,48.4856,10.38042
11649004,48.13301,10.51011
11649255,48.23695,10.48623
11649455,48.24827,10.45772
11688475,48.18299,10.38518
11689508,48.45563,10.37972
11723100,48.63015,10.15448
11723504,48.54735,10.31881
11744005,48.61502,10.42719
11802509,49.17579,10.25895
11803501,49.0702,10.32316
11805008,49.04777,10.51765
11808006,48.81231,10.6416
11809009,48.78325,10.69238
11840508,49.22622,10.3218
11857500,48.96538,10.72048
11861009,48.86238,10.3512
11864007,48.80856,10.60204
11921701,48.35902,10.57001
11923555,48.55886,10.68797
11924007,48.60866,10.71761
11942009,48.29368,10.65382
11944004,48.49218,10.82735
11946000,48.63546,10.81857
12000207,47.20741,10.13996
12000706,47.49702,10.70966
12001006,47.56593,10.7003
12001028,47.56549,10.70059
12001108,47.6545,10.74592
12001301,47.65489,10.74473
12001403,47.65416,10.75
12002009,47.69818,10.79795
12003001,48.04152,10.87498
12003500,48.31661,10.9459
12006000,48.40697,10.88803
12113005,47.20494,10.14061
12133007,47.36863,10.53797
12183005,47.58071,10.55748
12185000,47.55156,10.65075
12311003,47.60209,10.68255
12312006,47.57246,10.64765
12313009,47.58701,10.68387
12314001,47.58728,10.75155
12321007,47.61037,10.8252
12327003,47.64746,10.81968
12335001,47.72676,10.89176
12393201,48.23794,10.92383
12401004,47.58499,10.40906
12402007,47.60186,10.42314
12403000,47.6203,10.45884
12404002,47.62094,10.46181
12404705,47.77344,10.59537
12405005,47.82633,10.64291
12406008,48.06328,10.65181
12407000,48.37848,10.88204
12412000,47.6005,10.42018
12418007,47.70593,10.51108
12425002,47.74814,10.58328
12433102,47.77505,10.50817
12445000,47.8264,10.65323
12465007,48.04671,10.71869
12483009,48.14807,10.75516
12483100,48.14732,10.75378
13123995,48.16526,10.92849
13191030,48.75691,11.04138
13200609,48.22498,10.98441
13200700,48.2253,10.98466
13201000,48.27328,10.98609
13202003,48.38371,11.05084
13204555,48.46717,11.13192
13206004,48.57407,11.28229
13208000,48.71768,11.4937
13208509,48.72812,11.50133
13212255,48.24901,11.01017
13212257,48.24901,11.01017
13217000,48.42136,11.14975
13227000,48.55313,11.28734
13241005,48.72792,11.47414
13242008,48.58129,11.11434
13242201,48.62022,11.17744
13242507,48.70859,11.31283
13249007,48.71078,11.44872
13320555,48.56241,11.7403
13321002,48.64274,11.78412
13321655,48.76078,11.83954
13322005,48.81655,11.83064
13323955,48.43068,11.3804
13325207,48.52685,11.50759
13325502,48.68303,11.61731
13327655,48.52591,11.50245
13327855,48.60378,11.62225
13400903,49.38272,10.37327
13402002,49.26104,10.45608
13402807,49.20654,10.54461
13403504,49.17109,10.65052
13404460,49.15802,10.69988
13404799,49.12391,10.74863
13404802,49.14935,10.70379
13405408,49.10053,10.75363
13406105,48.95317,10.91354
13406555,48.88735,11.01762
13407200,48.88304,11.20056
13407709,49.0022,11.39706
13407902,49.02838,11.47821
13415055,49.34186,11.42596
13415065,49.33106,11.41304
13415955,49.28394,11.45304
13416455,49.24351,11.44904
13418055,49.1084,11.44501
13424901,49.15677,10.54873
13434009,49.11206,10.73258
13450300,48.9673,10.95352
13455020,48.87306,11.02192
13465002,49.02988,11.3654
13468003,49.01269,11.18922
13468008,48.99119,11.36418
13483004,49.12168,11.5164
13922002,49.17121,11.72756
13926207,49.02785,11.9145
14002305,49.53562,12.15395
14004708,49.33256,12.10456
14006000,49.23401,12.0841
14008006,49.11795,11.93605
14101205,49.79771,12.16488
14106005,49.72447,12.16687
14106504,49.66969,12.16635
14106505,49.66969,12.16635
14107008,49.80862,12.36384
14107700,49.81232,12.33035
14108000,49.81569,12.32873
14114003,49.81202,12.16468
14116009,49.79039,12.32803
14124007,49.83559,12.06284
14198105,49.77788,12.0282
14198309,49.7309,12.04557
14201006,49.82344,11.89212
14201108,49.82309,11.89117
14203001,49.7679,11.93158
14209008,49.60835,12.12824
14244803,49.71822,11.91591
14338000,49.54923,12.12308
14361206,49.61826,12.49306
14362005,49.57232,12.34029
14364000,49.51934,12.26425
14368500,49.6205,12.41763
14368501,49.6205,12.41763
14402008,49.4096,12.7044
14402303,49.38987,12.69824
14402507,49.38938,12.69632
14405200,49.33725,12.51516
14406009,49.3569,12.4485
14406508,49.35952,12.44792
14408004,49.40445,12.21094
14425003,49.43539,12.59606
14425604,49.40877,12.60404
14426006,49.40475,12.60504
14465008,49.43207,12.45933
14483000,49.4873,12.44932
14486008,49.41077,12.30887
14513009,49.44099,11.99196
14601004,49.6297,11.83026
14602007,49.61197,11.80146
14603000,49.53282,11.79953
14604002,49.44817,11.85482
14606008,49.26537,11.92561
14608003,49.20015,11.94323
14615009,49.6404,11.83144
14631005,49.62585,11.7992
14644801,49.49437,11.7979
14670505,49.45809,11.89541
14671000,49.43288,11.89892
14681003,49.36933,11.68022
14685004,49.29209,11.81424
15201001,49.15706,12.82156
15202300,49.18147,12.7464
15204000,49.21622,12.66802
15205501,49.18997,12.4952
15207055,49.19885,12.27143
15207507,49.22282,12.17466
15210206,49.01005,13.2209
15212008,49.04228,12.9993
15212700,49.07121,12.91997
15213500,49.06006,12.9177
15214003,49.01849,13.23013
15214604,49.00734,13.3713
15215600,49.01306,13.33522
15216009,49.00938,13.2345
15217908,49.03653,12.99655
15221009,49.17162,13.09085
15228008,49.16877,12.85316
15241006,49.33057,12.97557
15242304,49.29984,12.89915
15242305,49.29984,12.89915
15242406,49.31745,12.86735
15242508,49.31872,12.86451
15243001,49.30219,12.83646
15246000,49.24043,12.73345
15247002,49.28234,12.91772
15247501,49.32043,12.89498
15248555,49.32759,12.85368
15249355,49.33729,12.82789
15256855,49.29149,12.6793
15257655,49.11819,12.60834
15257755,49.20658,12.58059
15314008,49.06259,12.27487
15315000,49.03861,12.25239
15325004,48.94119,12.20041
15403006,48.71204,12.01368
15408000,48.91549,12.4254
15422500,48.79281,12.30089
15916000,48.81046,12.56973
15935504,48.82062,12.68689
15993001,48.85399,12.96248
16000708,47.44334,11.27083
16001303,47.55342,11.41808
16001904,47.58271,11.54947
16002000,47.58575,11.55128
16002204,47.58806,11.55066
16002500,47.59133,11.5476
16003003,47.68426,11.57187
16003207,47.75418,11.55608
16003502,47.76144,11.55646
16004006,47.77903,11.54002
16004403,47.91616,11.44614
16005701,48.14536,11.59679
16005703,48.14597,11.59658
16006500,48.39816,11.75222
16006613,48.46547,11.94615
16007004,48.52759,12.13342
16007106,48.5459,12.13665
16008007,48.6752,12.69266
16008506,48.77092,12.88354
16124950,47.42727,11.25307
16145008,47.51804,11.4423
16163000,47.55335,11.53925
16166008,47.58255,11.60667
16312008,47.5876,11.54097
16323004,47.6052,11.334
16326002,47.61152,11.50285
16327504,47.60738,11.37114
16331955,47.65603,11.58924
16336055,47.69954,11.57073
16336555,47.70781,11.55128
16336556,47.70781,11.55128
16345007,47.73955,11.5762
16391004,47.76124,11.57108
16395005,47.8361,11.53639
16401006,47.48341,11.0632
16402009,47.50228,11.08822
16403001,47.53082,11.11696
16404106,47.59752,11.18687
16404900,47.66749,11.32492
16405801,47.63418,11.33898
16407002,47.66576,11.36297
16408130,47.7716,11.4019
16408504,47.83522,11.41495
16412002,47.47719,10.94041
16417055,47.46515,11.04504
16423555,47.46298,11.124
16423556,47.46298,11.124
16425003,47.47989,11.11491
16425300,47.48666,11.10876
16427108,47.48702,11.17242
16427205,47.48706,11.16838
16427305,47.48459,11.12996
16427513,47.48478,11.12639
16427702,47.4825,11.11629
