station_id,country,name,lat,lng,units,lw,mw,hw,rivers
201038,AT,"Lech @ Grießau",47.298,10.4631,cm,110,150,230,"Lech / Steeg - Stanzach"
201053,AT,"Hornbach @ Vorderhornbach (Brücke)",47.368599,10.538,cm,115,125,None,"Hornbach / Oberer | Hornbach / Unterer"
201095,AT,"Isar @ Scharnitz (Weidach)",47.389599,11.264,cm,115,135,160,"Isar / Oberste (Hinterautal - Scharnitz)"
201293,AT,"Inn @ Landeck Perjen",47.146999,10.5714,cm,280,300,330,"Inn / Unteres Gericht (Fliess - Urgen) | Inn / Urgen - Landeck"
201350,AT,"Rofenache @ Vent",46.857201,10.9109,cm,None,None,None,"Rofner Ache / Schlucht (Hochjochhospiz-Rofenhöfe)"
201368,AT,"Venter Ache @ Vent (altes Feuerwehrhaus)",46.859501,10.9146,cm,50,60,70,"Venter Ache / Heilligkreuz-Schlucht | Venter Ache / Untere (P4 - Zwieselstein) | Venter Ache / Obere (Vent - Strassenbrücke)"
201376,AT,"Gurgler Ache @ Obergurgl",46.8689,11.0222,cm,50,65,None,"Gurgelener Ache / Obergurgl - Liftparkplatz Pill | Gurgelener Ache / Strassenbrücke - Sahnestüberl | Gurgelener Ache / Sahnestüberl - Zwieselstein"
201384,AT,"Ötztaler Ache @ Sölden",46.9776,11.0117,cm,None,None,None,"Ötztaler Ache / Kühtrain Schlucht | Ötztaler Ache / Obere (Sölden - Bruggen)"
201434,AT,"Ötztaler Ache @ Tumpen",47.163101,10.9105,cm,200,225,240,"Ötztaler Ache / Mittlere (Au - Köfelser Brücke):200:225:240 | Ötztaler Ache / Köfelser Strecke (Brücke - Umhausen):200:230:265 | Ötztaler Ache / Achestürze (Tumpen - Habichen) | Ötztaler Ache / Wellerbrücke (Habichen - Oetz):180:200:215 | Ötztaler Ache / Untere (Oetz - Haiming):190:230:280"
201459,AT,"Inn @ Magerbach",47.2593,10.8759,cm,200,300,400,"Inn / Imsterschlucht (Imst - Haiming)"
201566,AT,"Gschnitzbach @ Steinach am Brenner",47.092899,11.4651,cm,190,195,210,"Gschnitzbach / Gschnitz - Trins | Gschnitzbach / Trins - Steinach"
201574,AT,"Sill @ Puig (Matrei am Brenner)",47.113098,11.4524,cm,145,160,170,"Sill / Mittlere"
201624,AT,"Sill @ Innsbruck Reichenau",47.2729,11.4115,cm,290,330,400,"Sill / Untere"
201822,AT,"Brandenberger Ache @ Mariathal",47.4543,11.865,cm,80,100,130,"Valepp /  | Brandenberger Ache / Kaiserklamm | Brandenberger Ache / Pineggerklamm + Wiesklamm | Brandenberger Ache / Tiefenbachklamm | Brandenberger Ache / Unterlauf"
